id,username,comment,num_of_likes,published_at
9YFbtgNsSeA,@novalpandolo,"Yg teriak2 koruptor hukum mati, gak salah? Yg nyuri pisang aja disuruh jalan keliling kampung kalian kasian gak tega. Jangan mimpi ya",0,2025-02-26T01:26:21Z
9YFbtgNsSeA,@nilapky1810,"UU PERAMPASAN ASET HARUSNYAA DI SAHKAN DPR... 
KALAU NGGAK BERANI...?????",0,2025-02-26T01:26:25Z
9YFbtgNsSeA,@noyancejohan2211,Segera mensahkan uu perampasan aset para koruptor dan memiskinkan koruptor,0,2025-02-26T01:26:26Z
9YFbtgNsSeA,@foxxyTD,"Bukti masih kurangnya hukuman bagi KORUPTOR ya gini , korupsinya gak ngotak rame-rame pula, vonisnya 6 tahun karena sopan + remisi. 2 tahun bebas duit hasil korupsi masih nyisa. Berasa Hebat banget jadi koruptor di negeri ini.",0,2025-02-26T01:27:07Z
9YFbtgNsSeA,@APB_12,Rampas harta nya lalu tembak Mati !!!!,0,2025-02-26T01:27:18Z
9YFbtgNsSeA,@andalusia477,Karena gak ada hukuman mati..sampai kapanpun korupsi tak akan diberantas...siapapun pejabat yg tak meloloskan perampasan aset dan hukuman mati koruptor Akan bertanggung jawab diakhirat kelak..,0,2025-02-26T01:27:44Z
9YFbtgNsSeA,@farishatmoyo6033,Yaa allah Kalian Jahat sekali.. 2018 sd 2023 saat itu BBM selalu di naikkan.. ternyata kalian Korupsi. TERIMA KASIH JAKSA AGUNG telah menangkap tikus2 Negara,0,2025-02-26T01:27:44Z
9YFbtgNsSeA,@PrayogaArdiyansah-rr6zw,"Hukum mati wajib,, kalo ga di hukum mati sampai kapanpun Indonesia tidak akan bebas dari korupsi,,",0,2025-02-26T01:28:20Z
9YFbtgNsSeA,@tukangsirkus,Mukanya masih santui,0,2025-02-26T01:28:31Z
9YFbtgNsSeA,@bettyartiho3003,"Tuh kan pak omon Omon, tangkap koruptor itu gak usah jauh2 ke Antartika, jelas2 ada diantara kita kok...coba buktikan apa tindakan pak omon Omon...kejaksaan/kpk/polisi....",0,2025-02-26T01:28:36Z
9YFbtgNsSeA,@music4you746,"Muak banget sama berita beginian.
Geruduk aja rame2 dah.
Gw yakin org ini gak bakalan dpt hukuman setimpal nanti..
Brengsek banget sumpah.",0,2025-02-26T01:29:03Z
9YFbtgNsSeA,@HeriusUus,Brrti selama ini beli pertamax bukan asli....malah oplosan.... Maling2,0,2025-02-26T01:29:21Z
9YFbtgNsSeA,@devilmaycries,Udah dari dlu Pertamina sama PLN itu ladang korupsinya tikus2 berdasi.,0,2025-02-26T01:21:41Z
9YFbtgNsSeA,@yotoktt,"Buat pk preseden Prabowo,tlg beri semua pejabat negara supaya jgn korupsi uang negara,supaya negara cepat maju seperti Amerika Serikat",0,2025-02-26T01:21:43Z
9YFbtgNsSeA,@IcasFishing,Sadis ini...sangat terencana kami berharap mereka di hukum  mati,0,2025-02-26T01:21:55Z
9YFbtgNsSeA,@gigihindarto5223,"Tidak usah berkecil hati, INDONESIA memiki slogan."" KETANGKAP SATU,MAKA AKAN TUMBUH SERIBU"", bagi yang blm sempat KORUPSI inilah waktunya 👍👍👍",0,2025-02-26T01:22:29Z
